Date,Location / Operator,Manufacturer 1,Aircraft Type 1,Manufacturer 2,Aircraft Type 2,Occupants,Occupant Fatalities,Ground Fatalities
10-Mar-20,"New Paris, Indiana US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
30-Mar-20,"Newark, New Jersey US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
10-Apr-20,"Newark, New Jersey US Aerial Mail Service",curtiss,curtiss r-4lm,,,2,1,0
11-Apr-20,"Heller Field, New Jersey US Aerial Mail Service",curtiss,curtiss jn-4h,,,2,1,0
12-May-20,"Oskaloosa, Iowa US Aerial Mail Service",de havilland,de havilland dh-4,,,2,1,0
6-Jun-20,"Cleveland, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
20-Jul-20,"Cartagena, Columbia Compañia Colombiana de Navegación Aérea",farman,farman f-40,,,1,1,0
16-Aug-20,"Bedford, England By Air",armstrong-withworth,armstrong-whitworth f-k-8,,,1,1,0
16-Aug-20,"College Park, Maryland US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
1-Sep-20,"Morristown, New Jersey US Aerial Mail Service",junkers,junkers jl-6,,,2,2,0
15-Sep-20,"Pemberville, Ohio US Aerial Mail Service",junkers,junkers f-13,,,2,2,0
27-Sep-20,"Hillersburg, Pennsylvania US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
2-Oct-20,"Off Port Vendres, France Latecoere Airlines",salmson,salmson 2-a-2,,,2,2,0
5-Oct-20,"Valencia, Spain Latecoere Airlines",breguet,breguet 14,,,2,2,0
15-Oct-20,"Batavia, Illinois US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
7-Nov-20,"Tie Siding, Wyoming US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-Dec-20,"London, England Handley Page Transport",handley page,handley page hp-16,,,8,4,0
24-Dec-20,"Barcelona, Spain Aeropostale",breguet,breguet 14,,,1,1,0
3-Feb-21,"Mendotta, Minnisota US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
9-Feb-21,"La Crosse, Wisconsin US Aerial Mail Service",junkers,junkers f-13,,,3,3,0
15-Feb-21,Off Gibraltar Aeropostale,breguet,breguet 14,,,2,2,0
22-Feb-21,"Elko, Nevada US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
6-Apr-21,"Point Cook, Australia Military - Royal Australian Air Force",avro,avro 504,,,2,2,0
21-Apr-21,"Mitchel Field, NY US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
29-Apr-21,"Cleveland, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
17-May-21,"Rock Springs, Wyoming US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-Aug-21,"Toulouse, France Aeropostale",breguet,breguet 14,,,2,2,0
24-Aug-21,"River Humber, England Military - Royal Airship Works",royal airship works,royal airship works zr-2 (airship),,,49,43,1
6-Sep-21,"Paris, France Franco-Roumaine",potez,potez ix,,,5,5,0
5-Dec-21,"Near Murchinson River, Australia West Australian Airways",bristol,bristol 28 tourer,,,2,2,0
14-Jan-22,"Paris, France Handley Page Transport",handley page,handley page o/10,,,5,5,5
21-Feb-22,"Near Norfolk, Virginia Military - U.S. Army Air Service",dirigible,dirigible roma (airship),,,45,34,0
22-Mar-22,North Atlantic Ocean Aero Limited,aeromarine,aeromarine model 85 (flying boat),,,6,5,0
7-Apr-22,"Grandvilliers, France Daimler Airways / Grands Express Aeriens",de havilland,de havilland dh-18,farman,farman f-60 goliath,7,7,0
8-Apr-22,"Pao Ting Fou, China ?",,?,,,17,17,0
3-Jun-22,"Off Folkestone, Kent, England Cie des Messageries Aeriennes",blériot,blériot spad 27,,,3,3,0
4-Jul-22,"Fuhlsbuttel, Germany ?",lvg,lvg c vi,,,3,2,0
16-Jul-22,"Near Saverne, Lorraine, France Compagnie Franco-Roumaine de Navigaation Aerienne",potez,potez 29,,,5,5,0
26-Jul-22,"Cadix, Spain Grands Express Aeriens",breguet,breguet 14,,,3,3,0
7-Sep-22,"Indianapolis, Indiana US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
2-Oct-22,"Venice, Italy de Havilland Air Service",de havilland,de havilland dh-9,,,4,4,0
25-Oct-22,"Larache, Morocco Grands Express Aeriens",breguet,breguet 14,,,2,2,0
3-Dec-22,"Fez, Morocco Grands Express Aeriens",breguet,breguet 14,,,1,1,0
10-Jan-23,"Ajaccio, France Amee de l'Air",lioré-et-olivier,lioré-et-olivier h-13,,,4,3,0
17-Jan-23,"Barcelona, Spain Grands Express Aeriens",breguet,breguet 14,,,1,1,0
18-Jan-23,"Cheyenne, Wyoming US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
26-Feb-23,"Meadville, Pennsylvania US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-May-23,"Near Amiens, Picrdie, France Grands Express Aeriens (Air Union)",farman,farman f-60 goliath,,,6,6,0
27-Aug-23,"East Mallling, United Kingdom Air Union",farman,farman f.60 goliath,,,11,1,0
27-Aug-23,"Bucharest, Romania Campagnie France Roumaine",blériot,blériot spad 46,,,2,2,0
7-Sep-23,"Colton, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-Sep-23,"Near Ivinghoe, Buckinghamshire, England Daimler Airways",de havilland,de havilland dh-34,,,5,5,0
18-Nov-23,Russia CCCP,junkers,junkers f-13,,,5,3,0
6-Dec-23,"Castalia, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
23-Dec-23,Over the Mediterranean Sea Military - French Navy,zeppelin,zeppelin dixmunde (airship),,,52,52,0
24-Dec-23,"Egbert, WY US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
7-Mar-24,"Grampian, Pennsylvania US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
24-Apr-24,Over the English Channel KLM Royal Dutch Airlines,fokker,fokker f.iii,,,3,3,0
8-Jun-24,"Barranquilla, Colombia SCADTA",junkers,junkers f-13,,,5,5,0
1-Aug-24,United States US Aerial Mail Service,de havilland,de havilland dh-4,,,1,1,0
6-Nov-24,"Cabrerolles, France Grands Express Aeriens",breguet,breguet 14,,,1,1,0
21-Dec-24,"Goshen, Indiana US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
24-Dec-24,"Purley, England Imperial Airways",de havilland,de havilland dh-34b,,,8,8,0
22-Mar-25,"Near Tiflis, Georgia, USSR Zakavia",junkers,junkers f-13,,,5,5,0
25-Apr-25,"Alicante, Spain Grands Express Aeriens",breguet,breguet 14,,,3,3,0
25-Jun-25,"Landrécies, France KLM Royal Dutch Airlines",fokker,fokker (klm) f.iii,,,4,4,0
26-Jun-25,"Alicante, Spain Grands Express Aeriens",lioré-et-olivier,lioré-et-olivier leo h-13,,,2,2,0
20-Jul-25,"Rosas, Spain Lignes Aeriennes Latecoere",breguet,breguet 14,,,1,1,0
24-Jul-25,"Budapest, Hungary CIDNA",potez,potez ix,,,1,1,0
3-Sep-25,"Caldwell, Ohio Military - U.S. Navy",dirigible,dirigible zr-1 shenandoah (airship),,,43,14,0
7-Sep-25,"Toul, France CIDNA",spad,spad 33,,,?,?,?
1-Oct-25,"Mt. Nittany, Ohio US Aerial Mail Service",de havilland,de havilland dh-4,,,1,1,0
14-Nov-25,"Nouadhibou, Mauritania Lignes Aeriennes Latecoere",breguet,breguet 14,,,1,1,0
14-Nov-25,"Off Boulogne-sur-Mer, France Air Union",farman,farman f-60 goliath,,,2,2,0
12-Feb-26,"Montpelier, Ohio US Aerial Mail Service",curtiss,curtiss carrier pigeon,,,1,1,0
8-Mar-26,"Staaken, Germany Deutche Lufthansa",junkers,junkers f-13 d-290,,,1,1,0
31-May-26,English Channel Air Union,breguet,breguet 14,,,1,1,0
3-Jul-26,"Rossaugpt, Czechoslovakia Compagnie Internationale de Navigation Aérienne",caudron,caudron c-61,,,6,6,0
9-Jul-26,"Wolvertem, Belgium KLM Royal Dutch Airlines",fokker,fokker f7,,,2,2,0
24-Jul-26,"Juist, Germany Deutsche Lufthansa",junkers,junkers f-13,,,5,5,0
18-Aug-26,"Hurst, Kent, England Air Union",blériot,blériot 155,,,15,3,0
26-Sep-26,"New York, New York ?",sikorsky,sikorsky s-25,,,5,2,0
2-Oct-26,"Leigh, Kent, Unied Kingdom Air Union",blériot,blériot 155 f-,,,7,7,0
8-Oct-26,"Bueren, Germany Deutsche Lufthansa",fokker,fokker fg iii,,,4,4,0
21-Oct-26,English Channel Imperial Airways,handley page,handley page w-10,,,12,0,0
11-Nov-26,"Cape Bojador, Morocco Grands Express Aeriens",breguet,breguet 14,,,3,3,0
16-Dec-26,"Medford, Oregon Pacific Air Transport",ryan,ryan m-1,,,1,1,0
12-Jan-27,"Estaires, France Fokker",fokker,fokker f-vii,,,0,0,0
20-Mar-27,"Rabat, Morocco Grands Express Aeriens",breguet,breguet 14,,,1,1,0
24-Mar-27,"Tambo, Qld, Australia Qantas",de havilland,de havilland dh-9c,,,3,3,0
15-Apr-27,"King Hill, Idaho Varney Air Lines",swallow,swallow swallow,,,1,1,0
22-Apr-27,"Floh, Germany Deutsche Lufthansa",fokker,fokker fg iii,,,2,2,0
22-Apr-27,"Goshen, Indiana US Aerial Mail Service",douglas,douglas m-4,,,1,1,0
2-May-27,"Algiers, Algeria Air Union",spca,spca meteore 63,,,3,1,0
27-Jul-27,"Amoneburg, Germany Deutsche Lufthansa",junkers,junkers f-13,,,5,5,0
22-Aug-27,"Sevenoaks, England KLM Royal Dutch Airlines",fokker,fokker f-viii h-nadu,,,11,1,0
3-Sep-27,"Willington, Connecticut Colonial Air Transport",fokker,fokker universal nc52,,,1,1,0
17-Sep-27,"Hadley, New Jersey Reynolds Airways",fokker,fokker f-vii,,,12,7,0
17-Sep-27,Atlantic Ocean Private,fokker,fokker f7,,,3,3,0
23-Sep-27,"Schleiz, Germany Deutsche Lufthansa",dornier,dornier merkur,,,6,6,0
6-Oct-27,"Thies, Mauritania Lignes Aeriennes Latecoere",breguet,breguet 14,,,2,2,0
30-Oct-27,"New Brunswick, New Jersey Colonial Air Transport",fairchild,fairchild fc-2,,,4,4,0
8-Nov-27,"Strasburg, France CIDNA",farman,farman f-121 jabiru,,,1,1,0
16-Nov-27,Over the Gulf of Finland Aero O-Y,junkers,junkers f-13,,,6,6,0
29-Nov-27,"Corunna, Indiana National Air Transport",douglas,douglas m-4,,,1,1,0
28-Dec-27,"Almeria, Spain Aeropostale",breguet,breguet 14,,,1,1,0
31-Dec-27,"Near Marseille,France Latecoere Airlines",latécoère,latécoère 23 (flying boat),,,5,5,0
8-Jan-28,"Near Canajoharie, New York Colonial Western Airlines",fairchild,fairchild fc-2,,,3,3,0
16-Jan-28,"Solis, Uruguay Aeropostale",latécoère,latécoère 25,,,2,2,0
22-Jan-28,"L'Hospitalet, Ariège Aeropostale",breguet,breguet 14,,,1,1,0
22-Jan-28,"Tarragona, Spain Aeropostale",breguet,breguet 14,,,2,2,0
27-Jan-28,"Almeria, Spain Aeropostale",breguet,breguet 14,,,1,1,0
26-Feb-28,"Marquette, Nebraska Boeing Air Transport",boeing,boeing 40,,,2,1,0
11-Mar-28,"Off Cape Griz Nez, France Air Union",farman,farman f-60 goliath,,,2,2,0
17-Apr-28,"Federal, Wyoming Boeing Air Transport",boeing ,boeing 40 nc282,,,2,1,0
19-Apr-28,"Minuesa, Spain Iberia Airlines",rohrbach,rohrbach roland,,,9,9,0
7-May-28,"Florianopolis, Brazil Florianopolis, Brazil Florianopolis, Brazil Aeropostale",latécoère,latécoère 26,,,5,1,0
12-May-28,"Dearborn, Minnesota Ford Air Freight Inc.",ford,ford 4,,,2,2,0
26-May-28,"Radevormwald, Germany Deutsche Lufthansa",junkers,junkers f-13,,,5,3,0
14-Jun-28,"Frankfurt, Germany Deutsche Lufthansa",,aegk,,,5,5,0
22-Jun-28,"Lebo, Kansas National Air Transport",douglas,douglas m-4,,,1,1,0
10-Jul-28,Over the Gulf of Finland Aero O-Y,junkers,junkers f-13,,,6,6,0
13-Jul-28,"Purley, England Imperial Airways",vickers,vickers 74 vulcan,,,6,4,0
24-Jul-28,"Waalhaven, Netherlands KLM Royal Dutch Airlines",fokker,fokker (klm) f.iii,,,6,1,0
25-Aug-28,"Near Port Townsend, BC, Canada British Columbia Airways",ford,ford 4-at-b tri motor,,,7,7,0
2-Sep-28,"Toul, France CIDNA",blériot,blériot spad 33,,,5,5,0
4-Sep-28,"Adelaide Hills, Australia Qantas",de havilland,de havilland dh.50j,,,2,1,0
4-Sep-28,"Pocatello, Idaho National Parks Airways",fokker,fokker super universal,,,7,7,0
6-Sep-28,"Heroldbach, Germany Deutsche Lufthansa",fokker,fokker fg iii,,,3,3,0
4-Oct-28,"Gerona, Spain Aeropostale",breguet,breguet 14 f-aeej,,,3,3,0
18-Oct-28,"Polk, Pennsylvania National Air Transport",douglas,douglas m-4,,,1,1,0
31-Oct-28,"Valence, France Air Union",blériot,blériot spad 56,,,2,1,0
15-Nov-28,Off Gibraltar Aeropostale,latécoère,latécoère 32,,,3,1,0
24-Nov-28,"Edgerton, Ohio Universal Airlines",hamilton,hamilton h-47,,,3,3,0
25-Nov-28,"Edgerton, Ohio Continental Air Lines",travel air,travel air 4000,,,1,1,0
25-Nov-28,"Bristolville, Ohio National Air Transport",douglas,douglas m-4,,,1,1,0
1-Dec-28,"Spur, Texas Sunbeam Air Transport Co.",ford,ford 4-at-b tri motor,,,5,5,0
3-Dec-28,"Near Rio de Janeiro,Brazil Syndicato Condor",dornier,dornier wal,,,14,14,0
10-Dec-28,"Spokan, Washington Spokane Airways",ford,ford tri-motor 4,,,5,5,0
11-Dec-28,"Letzlingen, Germany Deutsche Lufthansa",junkers,junkers g-31,,,4,3,0
20-Dec-28,"Huron, Ohio National Air Transport",douglas,douglas m-4,,,1,1,0
23-Dec-28,"Chattanooga, Tennessee Interstate Airlines",fairchild,fairchild fc-2,,,4,4,0
31-Dec-28,"Reims, France CIDNA",blériot,blériot spad 66,,,3,2,0
5-Jan-29,"Stafford Springs, Connecticut Colonial Air Transport",fairchild,fairchild fc-2,,,1,1,0
18-Jan-29,"Cove, Oregon Varney Air Lines",stearman,stearman c-38,,,1,1,0
25-Jan-29,"Near Corfu, Greece Aeroespresso",cmasa,cmasa wal,,,9,2,0
31-Jan-29,Off Morocco Aeropostale,latécoère,latécoère 26 f-aimu,,,2,2,0
31-Jan-29,"Morgantown, West Virginia Skyline Transportation Company",travel air,travel air 4000,,,1,1,0
17-Mar-29,"Newark, New Jersey Colonial Western Airlines",ford,ford 5-at-b tri motor,,,15,14,0
30-Mar-29,"Near Beaumont, California New Standard Airlines",fokker,fokker f-viia,,,4,4,0
21-Apr-29,"San Diego, California Maddux Airlines / Military - U.S.Army Air Force",ford,ford 5-at-b tri-motor,b-pw-,b-pw-9d nc9636,6,6,0
9-May-29,"Tampico, Mexico Mexicana",ford,ford tri-motor 4,,,5,5,0
18-May-29,"Tököl, Pest Hungary MALERT",fokker,fokker f-iii,,,2,2,0
22-May-29,Algiers Aeropostale,cams,cams 53,,,6,4,0
13-Jun-29,"Santiago de Cuba, Cuba Pan American Airways",fokker,fokker f-x,,,5,2,0
14-Jun-29,"Barcelona, Spain Aeropostale",breguet,breguet 14,,,2,1,0
17-Jun-29,"Off Dungeness, England Imperial Airways",handley page,handley page w-10,,,13,7,0
24-Jun-29,"St. Paul, Minnesota Northwest Orient Airlines",ford,ford 5-at-b tri-motor,,,8,1,0
29-Jun-29,"Near Lindau, Bavaria, Germany Bodensee Aerolloyd",dornier,dornier delphin iii (flying boat),,,5,5,0
29-Jun-29,"Columbus, Ohio Continental Air Lines",travel air,travel air 4000,,,1,1,0
11-Aug-29,"Clovis, New Mexico Middle States Airlines",lockheed,lockheed 5 vega,,,4,4,0
24-Aug-29,"Sochi, Russia Ukvozduchput",kalinin,kalinin k-4,,,1,1,0
24-Aug-29,"Elm, Germany Deutsche Lufthansa",fokker,fokker fg ii,,,5,4,0
2-Sep-29,"Needles, California Associated Aviators",lockheed,lockheed vega,,,2,1,0
3-Sep-29,"Mt. Taylor, near Grants, New Mexico Trans Continental Air Transport",ford,ford 5-at-b tri motor,,,8,8,0
6-Sep-29,"Jask, Iran Imperial Airways",de havilland,de havilland dh-66 hercules,,,5,3,0
14-Sep-29,North Atlantic Ocean Aeropostale,latécoère,latécoère 25,,,6,6,0
14-Sep-29,"Saint Catharines, Ontario Skyways",travel air,travel air 6000,,,6,6,0
17-Sep-29,"Mt Lamentation, Connecticut Colonial Air Transport",pitcairn,pitcairn pa-6 mailwing,,,1,1,0
17-Sep-29,"Off Larache, Morocco Aeropostale",latécoère,latécoère 25-3-r,,,5,5,0
17-Sep-29,"Jacumba, California Pickwick Airways",fairchild,fairchild 71,,,2,1,0
26-Oct-29,"Off Spezia, Italy Imperial Airways",short,short calcutta (flying boat),,,7,7,0
29-Oct-29,"Mount Vernon, Ohio Continental Air Lines",stearman,stearman c-38,,,1,1,0
31-Oct-29,"Off Bremerton, Washington Bremerton-Seattle Air Taxi / Gorst Air Lines",loening,loening c-2c,,,2,2,0
4-Nov-29,"Cerro del Carbon, Mexico Corp. Aeronautica de Transportes",lockheed,lockheed vega 5,,,4,4,0
6-Nov-29,"Near Godstone, Surrey, England Deutsche Lufthansa",junkers,junkers g-24,,,8,7,0
16-Nov-29,"Off Corsica, France Air Union",lioré-et-olivier,lioré-et-olivier 190,,,3,3,0
20-Nov-29,"Terranova Pausania, East Sardinia S.A.M. Società Aerea Mediterranea",savoia-marchetti,savoia marchetti s55,,,12,1,0
30-Nov-29,"Vancouver, Washington Varney Air Lines",stearman,stearman m-2 speedmail,,,1,1,0
2-Dec-29,"Chagrin Falls, Ohio National Air Transport",douglas,douglas m-3,,,1,1,0
19-Dec-29,"Near Berlin, Germany Deutsche Lufthansa",arado,arado v1,,,3,2,0
30-Dec-29,"Amarillo, Texas Trans Continental Air Transport",travel air,travel air b6000,,,5,5,0
2-Jan-30,"Off Venice, California ?",,?,,,10,10,0
10-Jan-30,"Brawnson, Nebraska Boeing Air Transport",boeing,boeing 95,,,1,1,0
13-Jan-30,"Antananarivo, Madagascar Air Orient",farman,farman 190,,,3,3,0
19-Jan-30,"Oceanside, California Maddux Airlines",ford,ford 5-at-c tri motor,,,16,16,0
25-Jan-30,"Off Ceuta, Spain Aeropostale",latécoère,latécoère 25,,,2,2,0
27-Jan-30,"Kansas City, Missouri Central Airlines (Universal Aviation Corporation)",travel air,travel air a6000a,,,5,5,0
3-Feb-30,"Hartford, Connecticut Colonial Air Transport",pitcairn,pitcairn pa-6 mailwing,,,1,1,0
10-Feb-30,"Marden, England Air Union",farman,farman f-63,,,6,2,0
18-Apr-30,"Jersey City, New Jersey Canadian Colonial Airways",fairchild,fairchild 71,,,4,4,0
10-May-30,"Buenos Aires, Argentina Aeropostale",latécoère,latécoère 28,,,4,3,0
5-Jun-30,"Boston, Massachusetts Colonial Air Transport",ford,ford tri-motor 5,,,15,1,0
7-Jul-30,"Bornholm, Denmark Deutsche Lufthansa",dornier,dornier wal,,,8,5,0
10-Jul-30,"Arkansas Pass, Texas Cross Airways",lockheed,lockheed vega 5,,,5,5,0
21-Jul-30,"Near Meopham, Kent, England Walcot Air Line",junkers,junkers f-13ge,,,6,6,0
22-Aug-30,"Iglau, Czechoslovakia Ceskoslovenske Aerolinie",ford,ford 5-at-c tri motor,,,11,10,0
11-Sep-30,"Croydon, England Sabena",sabca,sabca f-vii,,,2,2,0
25-Sep-30,"Edmonton, Alberta, Canada Western Canada Airways",boeing,boeing 40,,,3,3,0
5-Oct-30,"Near Beauvais, France Military - British Air Ministry",royal airship works,royal airship works r-101,,,54,48,0
6-Oct-30,"Dresden, Germany Deutsche Lufthansa",messerschmitt,messerschmitt m-20b,,,8,8,0
12-Oct-30,"La Rache, Morocco Aeropostale",latécoère,latécoère 28,,,4,4,0
13-Oct-30,"Perth, Australia Wings Ltd",de havilland,de havilland dh.80 puss moth,,,3,3,?
28-Oct-30,"Prince Rupert, BC, Canada Alaska-Washington Airways",lockheed,lockheed vega,,,3,3,0
30-Oct-30,"Brookston, Indiana Embry Riddle Company",pitcairn,pitcairn pa-6 mailwing,,,1,1,0
30-Oct-30,"Near Neufchatel, France Imperial Airways",handley page,handley page w-8,,,6,3,0
7-Nov-30,"Off of Santos, Brazil Syndicato Condor",junkers,junkers g-24,,,9,1,0
18-Nov-30,"Techachapi Mountains, California Pacific Air Transport",boeing,boeing 40,,,3,3,?
9-Dec-30,"Shanghai, China China National Aviation Corporation",loening,loening c-w air yaht,,,6,4,0
8-Jan-31,"Melle, Belgium Sabena",fokker,fokker f-vii,,,2,2,0
22-Jan-31,"Bluff Mountain, Washington Varney Air Lines",boeing,boeing 40,,,1,1,0
8-Feb-31,"Wairoa, New Zealand Dominion Air Lines",desoutter,desoutter ii,,,3,3,0
20-Feb-31,"Bagot, Manitoba, Canada Western Canada Airways",fokker,fokker universal f-14,,,3,2,0
24-Feb-31,Off Spain Aeropostale,latécoère,latécoère 32,,,3,1,0
21-Mar-31,"New South Wales, Australia Australian National Airways",avro,avro 10,,,8,8,0
31-Mar-31,"Bazaar, Kansas Trans Continental and Western Air",fokker,fokker f10a trimotor,,,8,8,0
14-Apr-31,"Near Letschen, Germany Deutsche Lufthansa",messerschmitt,messerschmitt m-20,,,10,2,0
5-May-31,"Burbank, California Pacific Air Transport",boeing,boeing 40,,,2,2,0
22-May-31,"Wampit, Australia Guiena Airways",junkers,junkers w-34,,,1,1,0
24-May-31,"Bellefonte, Pennsylvania National Air Transport",boeing,boeing 95,,,1,1,0
7-Jun-31,"Near Sandoway, Burma Air Orient",fokker,fokker f-viib,,,4,4,0
11-Jun-31,"Walbridge, Ohio Rubner Flying Service",lockheed,lockheed vega 2,,,3,2,0
13-Jun-31,"Saarbrucken, Germany Deutsche Lufthansa",dornier,dornier merkur,,,4,4,0
12-Jul-31,"Chicago, Illinois Braniff Airlines",lockheed,lockheed vega,,,2,2,0
14-Jul-31,"Temora, Australia Australian Aerial Services",lasco,lasco lascowl,,,2,2,0
21-Jul-31,"Centralia, Illinois American Airways",pitcairn,pitcairn pa-6 mailwing,,,1,1,0
24-Jul-31,"Kurudjevo, Bulgaria CIDNA",fokker,fokker f-vii,,,7,7,0
9-Aug-31,"Cincinnati, Ohio American Airways",ford,ford 5-at-c tri motor,,,6,6,0
14-Sep-31,"Chicago, Illinois Chicago-Detroit Airways",lockheed,lockheed vega,,,1,1,0
15-Sep-31,"Near Craiova, Oltenia, Romania CIDNA",fokker,fokker f-viib-3m,,,6,6,0
16-Sep-31,"Oakland, California Pacific Air Transport",boeing,boeing 40,,,4,4,0
6-Oct-31,"Novia Scotia, Canada Deutsche Lufthansa",heinkel,heinkel he-2,,,3,3,0
14-Oct-31,Brazil Syndicato Condor,dornier,dornier wal,,,3,3,0
5-Nov-31,"Camden, New Jersey NY, Phil., Washington AW",lockheed,lockheed orion 9,,,5,5,0
13-Nov-31,"Sir Lowry's pass, South Africa Union Airways",de havilland,de havilland dh.80,,,3,3,0
23-Nov-31,"Salt Lake City, Utah Boeing Air Transport",boeing,boeing 40,,,1,1,0
24-Nov-31,"Near Tsinan, China China National Aviation Corporation",,stinson,,,3,3,0
26-Nov-31,"Pasco, Washington Varney Air Lines",boeing,boeing 40,,,1,1,0
5-Dec-31,"Kewanee, Illinois Braniff Airways",lockheed,lockheed vega 5,,,6,2,0
6-Dec-31,"Bangkok, Thailand KLM Royal Dutch Airlines",fokker,fokker f-viib-3m,,,7,5,0
9-Dec-31,Off Algiers Aeropostale,cams,cams 56,,,2,2,0
31-Dec-31,"Springfield, Ohio American Airways",fairchild,fairchild pilgrim 100a,,,5,4,0
21-Jan-32,"Colvin Park, Ilinois Northwest Airways",stinson,stinson sm-2a,,,1,1,0
29-Jan-32,"Lebec, California Century Pacific Lines",stinson,stinson sm-6000b,,,8,8,0
1-Feb-32,"Off Miami, Florida Bimini Airways",,fairchild,,,5,5,0
2-Feb-32,"Rio Vista, California Boeing Air Transport",boeing ,boeing 40,,,2,1,0
2-Feb-32,"Marcellus, Michigan Transamerican Airlines",stearman,stearman c-3mb,,,1,1,0
27-Feb-32,"Off Setiba, Brazil Aeropostale",latécoère,latécoèree 28,,,3,3,0
8-Mar-32,"Saint Louis, Illinois Century Air Lines",stinson,stinson sm-6000b,,,5,3,0
19-Mar-32,"Calimesa, California American Airways",fokker,fokker f-10a,,,7,7,0
21-Mar-32,"Steubenville, Ohio Trans Continental and Western Air",northrop,northrop alpha 3,,,1,1,0
29-Mar-32,"Rutbah Wells, Iraq Air Orient",farman,farman f-190 f-ajdp,,,3,3,0
31-Mar-32,"Bedford, Ohio National Air Transport",boeing,boeing 95,,,1,1,0
21-Apr-32,"Fort Wayne, Indiana Transamerica Airlines",stearman,stearman c-3mb,,,1,1,0
16-May-32,"Burbank, California Pacific Air Transport",boeing,boeing 40,,,3,3,0
30-May-32,"Portland, Oregon Varney Air Lines",boeing,boeing 40,,,2,1,0
16-Jul-32,"Mount El Plomo, near Vitacura, Chile Panagra",ford,ford 5-at-c tri motor,,,9,9,0
12-Aug-32,"Beyrouth, Lebanon Air Orient",cams,cams 53,,,7,0,0
31-Aug-32,"Tubergen, Germany A B Aerotransport",junkers,junkers g-23,,,2,2,0
8-Sep-32,"Salt Flats, Texas American Airways",fokker,fokker f-10,,,4,3,0
17-Sep-32,"Selsdon Park, England Air Union",lioré-et-olivier,lioré-et-olivier 213,,,2,1,0
18-Sep-32,"Byron Bay, Australia New England Airways",de havilland,de havilland dh-80,,,3,3,0
12-Oct-32,"Port Etienne, Mauritania Aeropostale",latécoère,latécoère 28,,,1,1,0
26-Oct-32,"Villa Monte, Bolivia Lloyd Aero Boliviano",ford,ford tri-motor 5,,,2,2,0
29-Oct-32,"Ramsgate, England Deutsche Lufthansa",junkers,junkers w-33,,,2,2,0
2-Nov-32,"Echterpfuhl, Germany Deutsche Lufthansa",junkers,junkers f-13,,,5,5,0
25-Nov-32,"Marianna, Arkansas Hunter Airways",travel air,travel air 6000,,,2,2,0
14-Dec-32,"Amarillo, Texas Trans Continental and Western Air",ford,ford 5,,,2,2,0
14-Dec-32,"Rocky Ridge, Colorado Boeing Air Transport",boeing,boeing 40,,,1,1,0
26-Dec-32,"Wau, Australia Guinea Airways",de havilland,de havilland dh-60,,,1,1,0
10-Jan-33,Algiers Aeropostale,cams,cams 53,,,3,1,0
14-Jan-33,"Newark, New Jersey Eastern Air Transport",curtiss,curtiss condor 18,,,2,2,0
20-Jan-33,"Marietta, Georgia American Airways",stearman,stearman 4,,,1,1,0
20-Jan-33,"Bourne, Texas American Airways",stearman,stearman 4,,,1,1,0
24-Jan-33,"Eugene, Oregon Pacific Air Transport",ford,ford 5-at-d,,,3,2,0
11-Mar-33,"Near Mendoza, Argentina Pan American Grace Airways",fairchild,fairchild fc-2w,,,2,2,0
25-Mar-33,"Hayward, California Varney Airlines",lockheed,lockheed orion 9,,,3,3,11
28-Mar-33,"Near Dixmude, Belgium Imperial Airways",armstrong-withworth,armstrong-whitworth argosy ii,,,15,15,0
3-Apr-33,"Hemkenrode, Germany Deutsche Lufthansa",junkers,junkers f-13,,,2,1,0
4-Apr-33,"Off Barnegat, New Jersey Military - U.S. Navy",goodyear-zeppelin,goodyear-zeppelin u.s.s. akron (airship),,,76,73,0
23-Apr-33,"Near Castrovillari, Calabria, Italy Air Orient",cams,cams 53-1,,,8,5,0
29-Apr-33,"Traunstein, Germany Eurasia",junkers,junkers w-34,,,4,4,0
9-May-33,"Near Viladrau, Spain Aeropostale - La Tecoere Company",latécoère,latécoère 28-1,,,6,6,0
