Date,Location / Operator,Manufacturer 1,Aircraft Type 1,Manufacturer 2,Aircraft Type 2,Occupants,Occupant Fatalities,Ground Fatalities
18-Nov-47,"Newcastle, Delaware Trans Continental and Western Air",lockheed,lockheed l-049-46-26 constellation,,,5,5,0
18-Nov-47,"Ravello, Italy Trafik-Turist-Transportflyg",bristol,bristol 170 freighter xi,,,25,20,0
21-Nov-47,"Phouznicie, Romania TARS",lisunov,lisunov li-2,,,26,13,0
27-Nov-47,? China National Aviation Corporation,douglas,douglas dc-3,,,3,2,0
27-Nov-47,"Yakutat, Alaska Columbia Air Cargo",douglas,douglas dc-3c,,,13,13,0
27-Nov-47,"Montenegrin Mountains, Yugoslavia JAT Yugoslav Airlines",lisunov,lisunov li-2,,,22,22,0
28-Nov-47,"Near Trappa, Italy Military - U.S. Air Force",douglas,douglas c-47b,,,20,20,0
30-Nov-47,"Seattle, Washington Alaska Airlines",douglas,douglas c-54a,,,28,8,1
10-Dec-47,"Near Goose Bay, Labrador Military - U.S. Air Force",douglas,douglas c-54d-dc (dc-4),,,29,23,0
11-Dec-47,"Near Memphis, Tennessee Military - U.S. Air Force",douglas,douglas c-47-dk,,,20,20,0
18-Dec-47,"Krasnoyarsk, Russia Aeroflot",ilyushin,ilyushin il-12,,,25,9,0
23-Dec-47,"Kunming, China Air Transport",short,short s-29 stirling v,,,30,25,0
27-Dec-47,"Korangi Creek, India Air India",douglas,douglas dc-3 (c-47),,,23,23,0
28-Dec-47,"Leon, Mexico Servicio Aéreo Panini",douglas,douglas dc-2-172,,,10,5,3
6-Jan-48,"Paris, France Air France",douglas,douglas dc-3d,,,16,16,0
6-Jan-48,"Ruislip, England British European Airways",vickers,vickers 610 viking 1b,,,18,1,0
7-Jan-48,"Near Savannah, Georgia Coastal Air Lines",douglas,douglas dc-3,,,27,18,0
8-Jan-48,"Near Palestro, Algeria Transport Comp. Algerienne de T.A.",douglas,douglas dc-3,,,9,9,0
11-Jan-48,"Ciudad Havajillo, Dominican Republic Dominicana",douglas,douglas dc-3,,,32,32,0
13-Jan-48,"Oxon Hill, Maryland Eastern Air Lines",douglas,douglas dc-3-201f,,,9,5,0
20-Jan-48,"Near Mukden, China China National Aviation Corporation",curtiss,curtiss c-46,,,54,11,0
28-Jan-48,"Diablo Mts., California Airline Transport Carriers",douglas,douglas dc-3 (c-47b-dk),,,32,32,0
30-Jan-48,"Atlantic Ocean, NE of Bermuda British South American Airways",avro,avro 688 tudor i,,,31,31,0
7-Feb-48,"Off Jacksonville, Florida Eastern Air Lines",lockheed,lockheed l-649 constellation,,,69,1,0
10-Feb-48,"Near Padalarang, Indonesia KLM Royal Dutch Airlines",douglas,douglas dc-3,,,19,19,0
12-Feb-48,"Ubrichstein, Germany Det Danske Luftfartselskab",douglas,douglas dc-3,,,21,12,0
20-Feb-48,"Collesalvetti, Italy Società Aerea Teseo",douglas,douglas c-47-dl,,,10,7,0
21-Feb-48,"Off St. Marcouf, France Latecoere Airlines",latécoère,latécoère 631 (flying boat),,,14,14,0
23-Feb-48,"Davao, Philippines Commercial Airways",douglas,douglas dc-3,,,12,12,0
25-Feb-48,"Columbus, Ohio Bruning Aviation",douglas,douglas c-47a,,,2,2,0
27-Feb-48,"Near Belem, Brazil Military - Brazilian Air Force",douglas,douglas c-47,,,26,23,0
2-Mar-48,"Off Perpignan, France Société de Transports Aériens",junkers,junkers ju-52/3m,,,4,4,0
2-Mar-48,"Heathrow Airport, London, England Sabena",douglas,douglas dc-3,,,22,20,0
7-Mar-48,"Near Skalafell, Iceland Loftleidir Icelandic Airlines",avro,avro anson,,,4,4,0
10-Mar-48,"Chicago, Illinois Delta Air Lines",douglas,douglas dc-4,,,13,12,0
12-Mar-48,"Mt. Sanford, Alaska Northwest Orient Airlines",douglas,douglas dc-4 (c-54g-1-do),,,30,30,0
13-Mar-48,"Sierra Cristais, Brazil Cruzeiro",douglas,douglas dc-3,,,6,6,0
15-Mar-48,"Villa Pinzon, Colombia Agencia Interamericana de Aviada",douglas,douglas dc-3 (c47-dl),,,14,14,0
27-Mar-48,"Monte Cardo, Corsica, France Indian National Airlines",vickers,vickers 604 viking 1b,,,19,19,0
5-Apr-48,"Near Berlin, Germany British European Airways / Military - Soviet Air Force",vickers,vickers viking 1b & soviet yak-3 fighter,,,14,14,0
10-Apr-48,"Kano, Nigeria Air France",douglas,douglas dc-4,,,6,1,0
15-Apr-48,"Shannon, Ireland Pan American World Airways",lockheed,lockheed l-049-46 constellation,,,31,30,0
18-Apr-48,Territory of New Guinea New Guinea Air Traders,lockheed,lockheed hudson iiia,,,37,37,0
24-Apr-48,Near Irkutsk Russia Aeroflot,lisunov,lisunov li-2,,,29,28,0
13-May-48,"Mount Coron, France Skyways of London",de havilland,de havilland dove 1,,,4,4,0
13-May-48,"Near Magazini, Belgian Congo (Zaire) Sabena",douglas,douglas dc-4-1009,,,32,31,0
15-May-48,"Vrede, South Africa Mercury Aviation",douglas,douglas dc-3-455,,,13,13,0
16-May-48,"Columbus, Ohio Slick Airways",curtiss,curtiss c-46e,,,2,2,0
20-May-48,"Near Bovingdon, England Air Transport Charter",douglas,douglas c-47a,,,4,3,0
22-May-48,"Khabarovsk, Russia Aeroflot",douglas,douglas c-47,,,9,8,0
25-May-48,"Albacete, Spain Alpha Airways",handley page,handley page halifax c-8,,,4,4,1
10-Jun-48,Isle of Man Hargreaves Airways,de havilland,de havilland dh-89a dragon rapide,,,8,6,0
17-Jun-48,"Mount Carmel, Pennsylvania United Air Lines",douglas,douglas dc-6,,,43,43,0
17-Jun-48,"Over the Pearl River, China Cathy Pacific",pby,pby catalina,,,26,25,0
26-Jun-48,"Maiquetia, Venezuela Linea Aeropostal Venezolana",douglas,douglas dc-3,,,17,1,0
1-Jul-48,"Keerbergen, Belgium Avio Linee Italiane",fiat,fiat g.212cp,,,12,8,0
4-Jul-48,"Northolt, Middlesex, England Scandinavian Airlines (SAS)",douglas,douglas dc-6,raf york,raf york se-bda,39,39,0
7-Jul-48,"Djiring, French Indo-China Aigle Azur",douglas,douglas dc-3,,,16,16,0
14-Jul-48,"Belem, Brazil Aerovias Brasil",douglas,douglas c-47a,,,5,5,0
16-Jul-48,Pacific Ocean between Hong Kong and Macao Cathay Pacific Airways,consolidated,consolidated oa-10 catalina,,,26,25,0
24-Jul-48,"Cap-des-Rosiers, Quebec, Canada Rimouski Airlines",douglas,douglas dc-3,,,29,29,0
29-Jul-48,"Buenos Aires, Argentina ALFA",short,short sandringham 2 (flying boat),,,24,18,0
29-Jul-48,"Tsingtao, China Civil Air Transport",curtiss,curtiss c-46d-20-cu,,,19,19,0
1-Aug-48,"Karachi, Pakistan Onzeair",avro,avro 691 lancastrian (flying boat),,,4,4,0
1-Aug-48,"1,200 miles off Dakar, Atlantic Ocean Air France",latécoère,latécoère 631 (flying boat),,,52,52,0
9-Aug-48,"Port Underwood, New Zealand New Zealand National Airways",douglas,douglas c-47b,,,2,2,0
20-Aug-48,"La Guaira, Venezuela Avensa",douglas,douglas c-47a,,,3,3,0
29-Aug-48,"Near Winona, Minnesota Northwest Orient Airlines",martin,martin 202,,,37,37,0
31-Aug-48,"Near Elizabethville, Belgium Congo Sabena",douglas,douglas dc-3 (douglas c-47a-10-dk),,,13,13,0
2-Sep-48,"Near Quirindi, Australia Australian National Airways",douglas,douglas dc-3,,,13,13,0
30-Sep-48,"Balkhash, Kazakhstan Aeroflot",lisunov,lisunov li-2,,,15,15,0
2-Oct-48,"Near Trondheim, Norway Norwegian Airlines",short,short sandringham 6 (flying boat),,,45,19,0
12-Oct-48,"Near Yevlakh, Azerbaijan, USSR Aeroflot",ilyushin,ilyushin il12,,,10,10,0
21-Oct-48,"Prestwick Airport, Scotland KLM Royal Dutch Airlines",lockheed,lockheed 049-46-25 constellation,,,40,40,0
23-Oct-48,"Mt. Ruapehu, New Zealand New Zealand National Airways",lockheed,lockheed 10a electra,,,13,13,0
25-Oct-48,"Georgian SSR, USSR Aerflot",lisunov,lisunov li-2,,,18,18,0
27-Oct-48,"Near Edmonton, Alberta, Canada Northwest Orient Airlines",douglas,douglas c-54a,,,5,2,0
3-Nov-48,"Near Glossop, England Military - U.S. Air Force",boeing,boeing b-29a superfortress,,,13,13,0
4-Nov-48,"Cape Spencer, Alaska Pacific Alaska Air Freight",douglas,douglas dc-3,,,17,17,0
8-Nov-48,"Mt. Macedon, Australia Australian National Airways",douglas,douglas dc-3,,,23,3,0
11-Nov-48,"Liverpool, England Mannin Airways",de havilland,de havilland dh-89a dragon rapide,,,8,7,0
